iter	TotalF1:average=Macro	MultiClass
545	0.6451680744	0.893610626
546	0.6453125479	0.8934291658
547	0.645221655	0.8932482867
548	0.6454391879	0.89305479
549	0.6455365517	0.8929447186
550	0.645603672	0.892825433
551	0.6456091093	0.8926798332
552	0.6460715046	0.8924530495
553	0.6462241417	0.8918095548
554	0.6464194274	0.8914028881
555	0.646427302	0.8913084225
556	0.6464522486	0.8911249701
557	0.6464460721	0.8910227846
558	0.6465160053	0.8908930398
559	0.646697525	0.8907529186
560	0.6467251539	0.8906039154
561	0.6469089979	0.8904260247
562	0.6470940979	0.8901647917
563	0.6470242842	0.8900758879
564	0.6471066642	0.8899933758
565	0.6472737087	0.8896878154
566	0.6472961845	0.8895001295
567	0.6474827814	0.8893939595
568	0.6474946214	0.8893224878
569	0.6475939945	0.8890725442
570	0.6476695277	0.8890151012
571	0.647718639	0.8888393687
572	0.6477535896	0.8885405322
573	0.6479366491	0.8881444908
574	0.6479526268	0.8880126707
575	0.6482106191	0.8878646636
576	0.6483593493	0.8876500823
577	0.64837289	0.8874577478
578	0.648499095	0.8871282806
579	0.6484721988	0.8868837327
580	0.6484477169	0.8867439436
581	0.6487251212	0.8866040715
582	0.6487041982	0.8864734965
583	0.6487657498	0.886273193
584	0.6488152268	0.8861114893
585	0.6489006964	0.8858769026
586	0.6489027095	0.8857664991
587	0.6490101465	0.885520291
588	0.6491925941	0.8853128486
589	0.6493171421	0.8850892193
590	0.6494265621	0.8849957499
591	0.6495079392	0.8848995411
592	0.6496084049	0.8846949211
593	0.6497066236	0.8846177217
594	0.6498294584	0.8844752763
595	0.6497742703	0.8842224273
596	0.6499298041	0.8838996839
597	0.6501072194	0.8835448155
598	0.6503843124	0.8832108657
599	0.6505095322	0.8830868485
600	0.6506156883	0.8827867669
601	0.6508402632	0.8823750365
602	0.6510310116	0.8820454032
603	0.6510257083	0.8818751494
604	0.651100592	0.8816599041
605	0.651280936	0.8814535409
606	0.6515259319	0.8812613724
607	0.6515917331	0.8812166299
608	0.6517300871	0.8811391815
609	0.6518285642	0.8808778655
610	0.6518386701	0.8807042913
611	0.6518777136	0.8805035728
612	0.6519249719	0.8803978178
613	0.6520961315	0.8801112668
614	0.6522562741	0.8799052356
615	0.6523138971	0.8797295031
616	0.6522769112	0.8793335447
617	0.6523075943	0.8792223111
618	0.6524676783	0.8790484049
619	0.6526785552	0.8786858996
620	0.6526885147	0.8784435929
621	0.6529341032	0.8782519225
622	0.6532429058	0.878059837
623	0.6532315757	0.877732694
624	0.6534067961	0.877552064
625	0.6536881233	0.8772830281
626	0.6537290897	0.8771033941
627	0.6539602534	0.8767802356
628	0.6539735971	0.8766693341
629	0.6542587565	0.8764689476
630	0.6541141485	0.8762036471
631	0.6541140353	0.8761195579
632	0.6542611324	0.8758941853
633	0.6543516723	0.875728414
634	0.6546446303	0.875474486
635	0.6546394746	0.8753643315
636	0.6544824832	0.8752625611
637	0.6548055797	0.8749970946
638	0.6549058631	0.8747949649
639	0.6550517864	0.8744130352
640	0.6552661762	0.8741994501
641	0.6551620236	0.8740408177
642	0.6552222779	0.8739472653
643	0.6551570036	0.8737106864
644	0.6552965583	0.8736036863
645	0.6554186475	0.8734630671
646	0.6555563924	0.8733054309
647	0.6557332931	0.8731382484
648	0.6557854559	0.8729165283
649	0.6560661025	0.8727808897
650	0.6561459008	0.8726269889
651	0.6561320176	0.8725533589
652	0.6561074183	0.8724435365
653	0.6561629276	0.8723487389
654	0.6564591131	0.8720217619
655	0.656465085	0.8719204896
656	0.6567040735	0.8716391682
657	0.6567880934	0.8715649571
658	0.6568738598	0.8713473875
659	0.6571097685	0.8711321422
660	0.6571366053	0.8709657068
661	0.657428831	0.8706837214
662	0.6575010614	0.8704211603
663	0.6576497789	0.870247254
664	0.6576111684	0.8699752298
665	0.657771606	0.8698586835
666	0.657882961	0.8697428844
667	0.6583307458	0.86938013
668	0.6582875675	0.8692693115
669	0.6582552133	0.8690509948
670	0.6582725911	0.8689907294
671	0.6584565447	0.8686935531
672	0.6585184693	0.8684968191
