iter	TotalF1:average=Macro	MultiClass
476	0.665057871	0.8351505871
477	0.6651162668	0.8348832612
478	0.6652328449	0.8346600723
479	0.6653385637	0.8345309992
480	0.6654034518	0.8342448502
481	0.6653654809	0.8341561124
482	0.6656931351	0.8339032516
483	0.6658033505	0.8337373667
484	0.6658802952	0.8336222951
485	0.6660291949	0.8333597908
486	0.6661889208	0.8331885279
487	0.6663329436	0.8328899537
488	0.6662851316	0.8326937478
489	0.6664233096	0.8324482122
490	0.6665466862	0.8322191817
491	0.6665502842	0.8319967346
492	0.6666552141	0.831806834
493	0.666819988	0.8316581959
494	0.6667104286	0.8314338944
495	0.667114523	0.8312160835
496	0.6671356433	0.8310867323
497	0.6671787494	0.8308930299
498	0.6674290911	0.8305326082
499	0.6674486233	0.8304181857
500	0.6675825354	0.8301150679
501	0.6680132118	0.8296697101
502	0.6680789265	0.8294824058
503	0.6680412738	0.8292842527
504	0.6681596908	0.8291374691
505	0.6682520162	0.8289534102
506	0.6683162393	0.828825728
507	0.6684865651	0.8286363837
508	0.6685346388	0.8283681305
509	0.6685241664	0.8282866253
510	0.668677194	0.8281622812
511	0.6686987859	0.8280159613
512	0.6687709283	0.8279071022
513	0.6689316462	0.82760315
514	0.6690726385	0.8274523793
515	0.6691377672	0.8272856599
516	0.6691723952	0.8270915866
517	0.6692396449	0.8269002951
518	0.6693272157	0.8268186972
519	0.6694379424	0.8266615285
520	0.6695912973	0.8265057506
521	0.6695560184	0.8264542883
522	0.6696600113	0.8262071764
523	0.6697508564	0.8260671618
524	0.6699200572	0.8257568115
525	0.6699252417	0.8256890296
526	0.6699740657	0.8253328732
527	0.6700456568	0.8251932294
528	0.6699838027	0.8250865031
529	0.6702828562	0.8248349404
530	0.6704264325	0.824357778
531	0.6704508441	0.8240465932
532	0.6705891181	0.8236882114
533	0.6706789456	0.8234678042
534	0.6709345282	0.8233665486
535	0.6710255437	0.8232102144
536	0.6710990927	0.8229564263
537	0.6713311539	0.8225529802
538	0.6712725697	0.8223768956
539	0.671391799	0.822183286
540	0.6714147796	0.8220282499
541	0.671467582	0.8218894407
542	0.6717042677	0.8215340261
543	0.6718989507	0.8214103311
544	0.6721598299	0.8209225053
545	0.6721785271	0.8207568059
546	0.6722859372	0.8206930112
547	0.6722877305	0.8206143804
548	0.6722795762	0.8204673187
549	0.6724065099	0.8203219261
550	0.6724425235	0.8201441724
551	0.6724741308	0.8200695288
552	0.6725260834	0.8198764756
553	0.6725985214	0.8197466607
554	0.6727666118	0.8195260681
555	0.6728274073	0.819280718
556	0.6730172802	0.8190474221
557	0.6730350898	0.8190102394
558	0.6730516917	0.8188794973
559	0.6732303751	0.8187657238
560	0.6732523245	0.8186620574
561	0.6735008336	0.8183808227
562	0.6735957719	0.8182261576
563	0.6736140505	0.8181306509
564	0.6737162724	0.8179572553
565	0.6739565995	0.8176585883
566	0.6741267484	0.8174470828
567	0.6741963673	0.8172586658
568	0.6743362751	0.8171624173
569	0.6744269022	0.8169980161
570	0.6745305551	0.8168775664
571	0.6745292698	0.8168248986
572	0.6745032145	0.8167046344
